Edward Abbey		29-Jan	Indiana, PA	14-Mar	Oracle, AZ	 Complications of Surgery 	 Buried, Cabeza Prieta Desert, Pima County, AZ	 Male			 Straight	 Author		 United States	Desert Solitaire	Jonathan Troy|The Brave Cowboy|Fire on the Mountain|Desert Solitaire|Black Sun|The Monkey Wrench Gang|The Journey Home|Abbey's Road|Good News|Down the River|The Fool's Progress|One Life at a Time|Hayduke Lives!
George Ade		9-Feb	Kentland, IN	16-May	Brook, IN	 Heart Failure	 Buried, Fairlawn Cemetery, Kentland, IN	 Male				 Author, 		 United States	Fables in Slang	Artie|Pink Marsh|Doc' Horne: A Story of the Streets and Town|Fables in Slang|Forty Modern Fables|The Girl Proposition|Handsome Cyril|Breaking Into Society|True Bills|In Pastures New|The Slim Princess|I Knew Him When--|Hoosier Hand Book and Guide for the Returning Exile|Verses and Jingles|Knocking the Neighbors|Ade's Fables|Hand-Made Fables|Single Blessedness and Other Observations|Stay Me with Flagons|Bang! Bang!|The Old-Time Saloon|Revived Remarks on Mark Twain|One Afternoon with Mark Twain|The Sultan of Sulu|The County Chairman|Peggy from Paris|The Sho-Gun|The College Widow
Aesop		 c. 620 BC		 c. 560 BC		Execution		 Male				 Author		 Ancient Greece	 Purported author of 	Fables
Shmuel Agnon	 Shmuel Yosef Halevi Czaczkes	17-Jul	 Buchach, Ukraine	17-Feb	Rehovot, Israel	 Heart Failure	 Buried, Mount of Olives Cemetery, Jerusalem, Israel	 Male	Jewish		 Straight	 Author		 Israel	'Tmol Shilshom	At the Handles of the Lock|Sefer Hamaasim (The Book of Deeds)|Pat Shlema (A Whole Loaf)|Yamin Noraim (Days of Awe)|Oreach Nata Lalun (A Guest for the Night)|Shevuat Emunim (Two Tales)|'Tmol Shilshom (Only Yesterday)|Atem Reitem (Ye Have Seen)|Sifreihem Shel Tzadikim (Books of the Tzadikim)|Agunot (Forsaken Wives)|Hakhnasat Kalah (The Bridal Canopy)|Ore'ah Nata' Lalun (A Guest for the Night)|Sefer, Sofer, Vesipur|Present at Sinai: The Giving of the Law|21 Stories|Shira|A Book That Was Lost and Other Stories|Jaffa, Belle of the Seas|A City and the Fullness Thereof|In Mr. Lublin's Shop|Within the Wall|From Myself to Myself|Introductions|Yiddish Works|Book, Writer and Story|The Beams of Our House|Dear Esther: Letters 1924-1931|A Shroud of Stories|The Correspondence between S.Y. Agnon and Z. Schocken
Allan Ahlberg		1938	London, England					 Male			 Straight	 Author		 England	 Juvenile author, 	
Fouad Ajami	 Fouad A. Ajami	9-Sep	 Arnoun, Lebanon	22-Jun	Palo Alto, CA	Cancer - unspecified		 Male	Shia Muslim		 Straight	 Author, 		 United States	 Director of Middle East Studies, SAIS	The Arab Predicament: Arab Political Thought and Practice Since 1967|The Vanished Imam: Musa Al Sadr and the Shia of Lebanon|Beirut: City of Regrets|Dream Palace of the Arabs: A Generation's Odyssey|The Foreigner's Gift: The Americans, the Arabs, and the Iraqis in Iraq|The Syrian Rebellion
Louisa May Alcott		29-Nov	Germantown, PA	6-Mar	Boston, MA	 unspecified	 Buried, 	 Female			Matter of Dispute	 Author	http://www.louisamayalcott.org/	 United States	Little Women	Hospital Sketches|Moods|Morning Glories and Other Stories|Little Women|An Old Fashioned Girl|Little Men: Life at Plumfield with Jo's Boys|Aunt Jo's Scrap Bag|Work: A Story of Experience|Beginning Again, Being a Continuation of Work|Eight Cousins; or, The Aunt-Hill|Rose in Bloom: A Sequel to "Eight Cousins"|Silver Pitchers and Independence|Under the Lilacs|Jack and Jill: A Village Story|Spinning-Wheel Stories|Jo's Boys and How They Turned Out: A Sequel to "Little Men"|Lulu's Library|A Garland for Girls
Brian Aldiss	 Brian Wilson Aldiss	18-Aug	 Dereham, Norfolk, England					 Male			 Straight	 Author	http://www.brianwaldiss.com/	 England	Supertoys Last All Summer Long	Nonstop|Hothouse|Earthworks|Frankenstein Unbound|Helliconia Spring|Dracula Unbound|The Squire Quartet|Supertoys Last All Summer Long|The Hand-Reared Boy|A Soldier Erect|The 80 Minute Hour, A Space Opera|Ruins|Remembrance Day|The Twinkling Of An Eye|When The Feast Is Finished|White Mars, Or, the Mind Set Free|Supertoys Last All Summer Long and Other Stories of Future Time|Super-State|The Cretan Teat|The Twinkling of an Eye: My Life As an Englishman
Sholem Aleichem	 Sholem Naumovich Rabinovich	2-Mar	 Pereyaslav, Ukraine	13-May	New York City	Tuberculosis	 Buried, 	 Male	Jewish		 Straight	 Author		 Ukraine	Fiddler on the Roof	
Mimi Alford	 Marion T. Beardsley	7-May						 Female			 Straight	 Author		 United States	Once Upon a Secret	Once Upon a Secret: My Affair with President John F. Kennedy and Its Aftermath
Horatio Alger	 Horatio Alger, Jr.	13-Jan	Revere, MA	18-Jul	 Natick, MA	 unspecified	 Buried, Glenwood Cemetery, South Natick, MA	 Male	Unitarian		Gay	 Author		 United States	Ragged Dick	Ragged Dick|Luck and Pluck|Tattered Tom|Grand'ther Baldwin's Thanksgiving|From Canal Boy to President|Abraham Lincoln, the Backwoods Boy
Nelson Algren	 Nelson Ahlgren Abraham	28-Mar	Detroit, MI	9-May	Sag Harbor, NY	 Heart Failure	 Buried, Oakland Cemetery, Sag Harbor, NY	 Male			 Straight	 Author		 United States	The Man with the Golden Arm	Somebody in Boots|Never Come Morning|The Neon Wilderness|The Man with the Golden Arm|Chicago, City on the Make|A Walk on the Wild Side|Who Lost an American?|Notes from a Sea Diary|The Devil's Stocking|The Texas Stories of Nelson Algren
David Allen		28-Dec						 Male	Cult		 Straight	 Author	http://www.davidco.com/	 United States	Getting Things Done	
Stephen E. Ambrose	 Stephen Edward Ambrose	10-Jan	Decatur, IL	13-Oct	Bay St. Louis, MS	Cancer - Lung	 Buried, Gardens of Memory Memorial Park, Bay Saint Louis, MS	 Male			 Straight	 Author		 United States	Band of Brothers	Eisenhower and Berlin, 1945: The Decision to Halt at the Elbe|The Supreme Commander: The War Years of General Dwight D. Eisenhower|Rise to Globalism: American Foreign Policy Since 1938|Crazy Horse and Custer: The Parallel Lives of Two American Warriors|Ike's Spies: Eisenhower and the Espionage Establishment|Eisenhower|Nixon|D-Day June 6, 1944|Undaunted Courage|Lewis and Clark|Citizen Soldiers|The Victors: Eisenhower and His Boys: The Men of World War II|Nothing Like It in the World|The Wild Blue: The Men and Boys Who Flew the B-24s Over Germany 1944-45|To America: Personal Reflections of an Historian
Nicholas Amhurst		16-Oct	 Marden, Kent, England	12-Apr	 Twickenham, Middlesex, England	 unspecified		 Male				 Author, 		 England	The Craftsman	
Martin Amis	 Martin Louis Amis	25-Aug	Oxford, England					 Male			 Straight	 Author		 England	The Rachel Papers	The Rachel Papers|Dead Babies|Success|Other People: A Mystery Story|Invasion of the Space Invaders: An Addict's Guide|Money: A Suicide Note|The Moronic Inferno and Other Visits to America|Einstein's Monsters|London Fields|Time's Arrow, or the Nature of the Offense|Visiting Mrs. Nabokov and Other Excursions|The Information|Night Train|Heavy Water: and Other Stories|Experience|The War Against Cliche: Essays and Reviews, 1971-2000|Kobo the Dread: Laughter and the Twenty Million|Yellow Dog|House of Meetings|The Pregnant Widow
Cleveland Amory		2-Sep	Nahant, MA	14-Oct	Manhattan, NY	Aneurysm	 Cremated (ashes buried at Black Beauty Ranch)	 Male			 Straight	 Author, 		 United States	The Cat Who Came for Christmas	The Proper Bostonians|Home Town|The Last Resorts|Who Killed Society?|Man Kind? Our Incredible War on Wildlife|Animail|The Trouble With Nowadays: A Curmudgeon Strikes Back|The Cat Who Came for Christmas|The Cat and the Curmudgeon|The Best Cat Ever|Ranch of Dreams
Rudolfo Anaya	 Rudolfo Alfonso Anaya	30-Oct	 Pastura, NM					 Male	Roman Catholic		 Straight	 Author		 United States	Bless Me, Ultima	Bless Me, Ultima|Heart of Aztlan|Tortuga|The Silence of the Llano|The Legend of La Llorona|A Chicano in China|The Anaya Reader|Rio Grande Fall|Shaman Winter|Alburquerque|Zia Summer
Hans Christian Andersen		2-Apr	Odense, Denmark	4-Aug	Copenhagen, Denmark	 Natural Causes	 Buried, 	 Male			Bisexual	 Author		 Denmark	 Danish master of the fairy tale	Fodrejse fra Holmens Kanal til Østpynten af Amager i Aarene 1828 og 1829|Improvisatoren|Eventyr, Fortalte for Børn|O.T.|Eventyr|Kun en Spillemand|Billedbog uden Billeder|En Digters Bazar|I Sverrig|Nye Eventyr og Historier|I Spanien|Mulatten
Margaret Anderson	 Margaret Caroline Anderson	24-Nov	Indianapolis, IN	18-Oct	Le Cannet, France	Emphysema		 Female			Lesbian	 Author		 United States	 Founder of the 	My Thirty Years' War|The Fiery Mountains|The Strange Necessity
Poul Anderson	 Poul William Anderson	25-Nov	Bristol, PA	31-Jul	Orinda, CA	Cancer - Prostate		 Male			 Straight	 Author		 United States	Tau Zero	Vault of the Ages|The War of Two Worlds|Brain Wave|The Broken Sword|No World of Their Own|Planet of No Return|The Enemy Stars|Perish by the Sword|The Golden Slave|The High Crusade|Murder in Black Letter|Rogue Sword|Orbit Unlimited|Twilight World: A Science Fiction Novel of Tomorrow's Children|After Doomsday|The Makeshift Rocket|Murder Bound|Shield|Three Worlds to Conquer|The Corridors of Time|The Star Fox|The Fox, the Dog, and the Griffin|World without Stars|The Horn of Time|Beyond the Beyond|Infinite Voyage|Seven Conquests|Tau Zero|The Byworlder|The Dancer from Atlantis|Operation Chaos|There Will Be Time|Hrolf Kraki's Saga|The People of the Wind|Fire Time|Inheritors of the Earth|The Worlds of Poul Anderson|Homeward and Beyond|Homebrew|The Winter of the World|A World Named Cleopatra|The Avatar|Two Worlds|The Demon of Scattery|The Merman's Children|The Devil's Game|Method of Holding the Three Ones|Conquests|The Dark Between the Stars|Explorations|Fantasy|Winners|The Gods Laughed|Maurai and Kith|New America|Conflict|Orion Shall Rise|Cold Victory: Grassy Knoll|New America: Grassy Knoll|No Truce with Kings|The Boat of a Million Years|Inconstant Star|Alight in the Void|Kinship with the Stars|Starfarers|Operation Luna|Genesis|Hokas Pokas|Mother of Kings|For Love and Glory
Sherwood Anderson		13-Sep	Camden, OH	8-Mar	 Colon, Panama	 unspecified	 Buried, Round Hill Cemetery, Marion, VA	 Male			 Straight	 Author		 United States	The Triumph of the Egg	Windy McPherson's Son|Marching Men|Winesburg, Ohio|Poor White|The Triumph of the Egg|Horses and Men|A Story-Teller's Story|Dark Laughter|Tar: A Midwest Childhood|Hello Towns|Beyond Desire|Death in the Woods and Other Stories|Puzzled America|Kit Brandon|Memoirs|Letters|Return to Winesburg|The Memoirs of Sherwood Anderson|The Buck Fever Papers
V. C. Andrews	 Cleo Virginia Andrews	6-Jun	Portsmouth, VA	19-Dec	Virginia Beach, VA	Cancer - Breast	 Buried, Olive Branch Cemetery, Portsmouth, VA	 Female				 Author		 United States	Flowers in the Attic	Flowers in the Attic|Petals on the Wind|If There Be Thorns
Ivo Andric	 Ivan Andric	9-Oct	 Dolac, Ottoman Empire	13-Mar	Belgrade, Yugoslavia	 Natural Causes	 Buried, Novo Groblje, Belgrade, Serbia	 Male	Roman Catholic		 Straight	 Author	http://www.ivoandric.org.yu/	 Serbia	The Bridge on the Drina	Ex Ponto|Nemiri (Anxieties)|Put Alije Djerzeleza (The Trip of Alija Djerzelez)|Pripovetke (Stories)|Pripovetke 2 (Stories 2)|Pripovetke 3 (Stories 3)|Na Drini Cuprija (The Bridge on the Drina)|Travnicka Hronika (Bosnian Story)|Gospodjica (The Woman from Sarajevo)|Priča o Vezirovom Slonu (The Vizier's Elephant)|Nove Pripovetke (New Stories)|Prokleta Avilija (The Devil's Yard)|Lica (Faces)|Zapisi o Goji (Notes on Goya)|Omer-Pasha Latas
Katharine Anthony	 Katharine Susan Anthony	27-Nov	 Roseville, AR	20-Nov	New York City	 unspecified		 Female			Lesbian	 Author		 United States	 Biographer, 	Feminism in Germany and Scandinavia|Margaret Fuller: A Psychological Biography|Catherine the Great|Queen Elizabeth|Marie Antoinette|Louisa May Alcott|The Lambs: A Story of Pre-Victorian England|Dolly Madison: Her Life and Times|Susan B. Anthony: Her Personal History and Her Era|First Lady of the Revolution
Mary Antin		1881	 Polotsk, Russia	15-May	Suffern, NY	 unspecified		 Female	Jewish		 Straight	 Author		 United States	The Promised Land	From Plotzk to Boston|The Promised Land|They Who Knock at Our Gates: A Complete Gospel of Immigration
William Apess		31-Jan	 Colrain, MA	 Apr-	New York City	 unspecified		 Male	Methodist		 Straight	 Author		 United States	A Son of the Forest	A Son of the Forest|The Experiences of Five Christian Indians of the Pequot Tribe|Indian Nullification of the Unconstitutional Laws of Massachusetts, Relative to the Marhspee Tribe|Eulogy on King Philip|On Our Own Ground|A Son of the Forest and Other Writings
Aharon Appelfeld		16-Feb	 Cernauti, Romania					 Male	Jewish			 Author		 Israel	In the Wilderness	In the Wilderness|The Age of Wonders|Badenheim 1939|Tzili: The Story of a Life|The Immortal Bartfuss|Katerina|The Iron Tracks|The Conversion|Unto the Soul|The Story of a Life: A Memoir
Max Apple	 Max Isaac Apple	22-Oct	Grand Rapids, MI					 Male	Jewish		 Straight	 Author		 United States	I Love Gootie	The Oranging of America|Zip: A Novel of the Left and the Right|Three Stories|Free Agents|The Propheteers: A Novel|Roommates: My Grandfather's Story|I Love Gootie: My Grandmother's Story|The Jew of Home Depot and Other Stories
Apuleius	 Apuleius Apuleius	 c. 124 AD	 Madauros, Numidia	 c. 180 AD	Carthage	 unspecified		 Male	Cult		 Straight	 Author		 Ancient Rome	The Golden Ass	Asinus Aureus|The Golden Ass|Apologia|Florida|The God of Socrates
|Plato and his Creed
|On Dialectic
Pietro Aretino		20-Apr	Arezzo, Italy	21-Oct	Venice, Italy	 unspecified		 Male	Roman Catholic			 Author		 Italy	Sonetti lussuriosi	Sonetti lussuriosi|Lewd Sonnets|Ragionamenti|Diologhi|Il Marescalco|La Cortigiana|La Talanta|Orazia
Richard Armour	 Richard Willard Armour	15-Jul	 San Pedro, CA	28-Feb		 unspecified	 Buried, Pomona Cemetery & Mausoleum, Pomona, CA	 Male			 Straight	 Author		 United States	It All Started with Columbus	It All Started with Columbus|It All Started with Europa|It All Started with Eve|It All Started with Marx|Twisted Tales from Shakespeare|Drug Store Days: My Youth Among the Pills & Potions|A Safari into Satire|Armour's Almanac|The Classics Reclassified|The Medical Muse|It All Started with Hippocrates: A Mercifully Brief History of Medicine|Going Around in Academic Circles: A Low View of Higher Education|It All Started with Stones and Clubs|My Life with Women: Confessions of a Domesticated Male|A Diabolical Dictionary of Education|Punctured Poems|English Lit Relit|AmericanLit Relit|A Short History of Sex|All in Sport|Going Like Sixty|The Academic Bestiary|It All Started with Nudes|Punctured Poems: Famous First and Infamous Second Lines|Our Presidents
Karen Armstrong		14-Nov	 Wildmoor, Worcestershire, England					 Female	Roman Catholic			 Author		 England	A History of God	Through the Narrow Gate: A Memoir of Spiritual Discovery|Muhammad: A Biography of the Prophet|A History of God: The 4000-Year Quest of Judaism, Christianity, and Islam|A History of Jerusalem: One City, Three Faiths|In the Beginning: A New Interpretation of Genesis|The Battle for God: A History of Fundamentalism|Islam: A Short History|The Spiral Staircase: My Climb Out of Darkness|The Great Transformation: The Beginning of Our Religious Traditions|The Bible: A Biography|Fields of Blood: Religion and the History of Violence
Sholem Asch		1-Nov	 Kutno, Poland	1-Aug	London, England	 unspecified		 Male	Jewish		 Straight	 Author, 			 Yiddish novelist	A Shtetl|Motke Ganev|Onkl Moses|Di Muter|Kidesh Hashem|Judge Not|Chaim Lederer's Return|Three Cities|The Nazarene|The Apostle|Mary|The Prophet|The God of Vengeance
Kate Ascher		 c. 						 Female				 Author		 United States	The Works: Anatomy of a City	The Works: Anatomy of a City
Isaac Asimov		2-Jan	 Petrovichi, Russia	6-Apr	New York City	AIDS	 Cremated (ashes scattered)	 Male	Atheist		 Straight	 Author		 United States	Foundation	Pebble in the Sky|I, Robot|Foundation|Foundation and Empire|Second Foundation|Asimov's New Guide to Science|The Rest of the Robots|Opus 100|The Gods Themselves|Murder at the ABA|Opus 200|Foundation's Edge|Foundation and Earth|Prelude to Foundation|Forward the Foundation|I, Asimov: A Memoir
Robert Asprin	 Robert Lynn Asprin	28-Jun	St. Johns, MI	22-May	New Orleans, LA	 unspecified	 Cremated	 Male			 Straight	 Author	http://www.mythadventures.net/	 United States	Thieves World	Bug Wars|Tambu|Myth Conceptions|Tales From the Vulgar Unicorn|Shadows of Sanctuary|Myth Directions|Storm Season|The Face of Chaos|Hit or Myth|Myth-ing Persons|Wings of Omen|Myth-Taken Identity
Miguel Ángel Asturias		19-Oct	Guatemala City, Guatemala	9-Jun	Madrid, Spain	 unspecified	 Buried, 	 Male			 Straight	 Author, 		 Guatemala	 Guatemalan protest writer	La Arquitectura de la Vida Nueva (Architecture of the New Life)|Leyendas de Guatemala (Legends of Guatemala)|Sonetos (Sonnets)|El Señor Presidente (Mr. President)|Hombres de Maíz (Men of Maize)|Viento Fuerte (Strong Wind)|El Papa Verde (The Green Pope)|Weekend en Guatemala (Weekend in Guatemala)|Los Ojos de los Enterrados (The Eyes of the Interred)|Obras Completas (Complete Works)
Gertrude Franklin Atherton	 Gertrude Franklin Horn	30-Oct	San Francisco, CA	14-Jun	San Francisco, CA	 unspecified	 Buried, 	 Female			 Straight	 Author		 United States	Black Oxen	The Californians|A Daughter of the Vine|The Conqueror|Rezanov|The Ancestors|Black Oxen|The Adventures of a Novelist
Margaret Atwood	 Margaret Eleanor Atwood	18-Nov	Ottawa, Ontario, Canada					 Female			 Straight	 Author, 	http://www.owtoad.com/	 Canada	The Handmaid's Tale	The Circle Game: Poems|The Animals in That Country: Poems|The Edible Woman|The political thought of Sir Henry Vane, the younger|Procedures for Underground: Poems|The Journals of Susanna Moodie: Poems|Power Politics: Poems|Surfacing|Survival: A Thematic Guide to Canadian Literature|You Are Happy: Poems|Selected Poems: 1965-1975|Lady Oracle|Marsh, Hawk|Dancing Girls and Other Stories|Days of the Rebels: 1815-1840|Two-headed Poems|Up in the Tree|Life Before Man|Anna's Pet|Bodily Harm|True Stories: Poems|Second Words: Selected Critical Prose|Bluebeard's Egg and Other Stories|Murder in the Dark: Short Fictions and Prose Poems|Selected Poems: 1966-1984|The Handmaid's Tale|Selected Poems II: 1976-1986|The CanLit Foodbook: From Pen to Palate -- A Collection of Tasty Literary Fare|Cat's Eye|Interlunar: Poems|For the Birds|Wilderness Tips|Good Bones|The Robber Bride|Eating Fire: Selected Poetry 1965-1995|Morning in the Burned House|Princess Prunella and the Purple Peanut|Strange Things: The Malevolent North in Canadian Literature|Alias Grace|The Labrador Fiasco|A Quiet Game: And Other Early Works|Two Solicitudes: Conversations|The Blind Assassin|Negotiating with the Dead: A Writer on Writing|Oryx and Crake|Bashful Bob and Doleful Dorinda|Rude Ramsay and the Roaring Radishes
Louis Auchincloss	 Louis Stanton Auchincloss	27-Sep	Lawrence, NY	26-Jan	Manhattan, NY	Stroke		 Male			 Straight	 Author, 		 United States	Portrait in Brownstone	The Indifferent Children|Venus in Sparta|The House of Five Talents|Reflections of a Jacobite|Portrait in Brownstone|The Rector of Justin|Tales of Manhattan|Edith Wharton: A Biography|Richelieu|The Partners|The Winthrop Covenant|The Dark Lady|Life, Law and Letters: Essays and Sketches|Powers of Attorney|Watchfires|Diary of a Yuppie|Skinny Island|Three Lives|Tales of Yesteryear|Education of Oscar Fairfax|The Collected Stories of Louis Auchincloss|Her Infinite Vanity
Jane Austen		16-Dec	 Steventon, Hampshire, England	18-Jul	Winchester, Hampshire, England	 unspecified	 Buried, 	 Female				 Author		 England	Pride and Prejudice	Sense and Sensibility|Pride and Prejudice|Mansfield Park|Emma|Northanger Abbey|Persuasion
Mary Austin	 Mary Hunter	9-Sep	Carlinville, IL	13-Aug	Santa Fe, NM	 unspecified	 Cremated (ashes at crypt on Mount Pichaco)	 Female			 Straight	 Author		 United States	Land of Little Rain	The Land of Little Rain|The Basket Woman|Isidro|Santa Lucia|Lost Borders|A Woman of Genius|The Ford|Taos Pueblo|Earth Horizon|The Arrow Maker
Sergei Averintsev	 Sergei Sergeevich Averintsev	10-Dec	Russia	21-Feb	Vienna, Austria	 Heart Failure		 Male	Russian Orthodox		 Straight	 Author		 Russia	Myth of the Peoples of the World	
Isaac Babel	 Isaak Emmanuelovich Babel	1-Jul	 Odessa, Russia	27-Jan	 Lubyanka Prison, Moscow, Russia	Execution	 Buried, Mass Grave, Donskoi Monastery Cemetery, Moscow, Russia	 Male	Jewish		 Straight	 Author		 Russia	 Soviet master of short stories	 Red Cavalry|Collected Stories|You Must Know Everything: Stories, 1915-1937|Isaac Babel: The Collected Stories|The Complete Works of Isaac Babel
